Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
219521090,Dream Count,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""059380273X""","=""9780593802731""",0,3.79,Knopf,Kindle Edition,474,2025,2025,,2026/02/27,to-read,to-read (#163),to-read,,,,0,0
197239502,How Africa Works: Success and Failure on the World's Last Developmental Frontier,Joe Studwell,"Studwell, Joe",,"=""0802158439""","=""9780802158437""",0,4.24,Atlantic Monthly Press,Hardcover,416,2026,,,2026/02/18,to-read,to-read (#162),to-read,,,,0,0
199534239,Hyperpolitik,Anton Jäger,"Jäger, Anton",,"=""3518127977""","=""9783518127971""",0,3.88,Suhrkamp,Paperback,140,2023,2023,,2026/02/17,to-read,to-read (#161),to-read,,,,0,0
56279741,How China Escaped Shock Therapy: The Market Reform Debate,Isabella M. Weber,"Weber, Isabella M.",,"=""0429953968""","=""9780429953965""",0,4.32,Routledge,Kindle Edition,358,2021,,,2026/02/16,to-read,to-read (#160),to-read,,,,0,0
29780906,Slavery's Capitalism: A New History of American Economic Development,Sven Beckert,"Beckert, Sven",Seth Rockman,"=""0812293096""","=""9780812293098""",0,4.08,University of Pennsylvania Press,ebook,416,2016,2016,,2026/02/16,to-read,to-read (#159),to-read,,,,0,0
224551667,Capitalism: A Global History,Sven Beckert,"Beckert, Sven",,"=""0141983752""","=""9780141983752""",0,4.31,Penguin,Kindle Edition,1344,2025,,,2026/02/16,to-read,to-read (#158),to-read,,,,0,0
20758057,Empire of Cotton: A Global History,Sven Beckert,"Beckert, Sven",,"=""0375414142""","=""9780375414145""",0,3.90,Knopf,Hardcover,640,2014,2014,,2026/02/16,to-read,to-read (#157),to-read,,,,0,0
128611780,Zauber der Stille,Florian Illies,"Illies, Florian",,"=""310490300X""","=""9783104903002""",0,4.02,FISCHER E-Books,Kindle Edition,237,2023,2023,,2026/01/07,to-read,to-read (#156),to-read,,,,0,0
42643866,"1913: Was ich unbedingt noch erzählen wollte (1913, #2)",Florian Illies,"Illies, Florian",,"=""""","=""9783103973600""",0,4.13,S. FISCHER,Hardcover,304,2018,2018,,2026/01/07,to-read,to-read (#155),to-read,,,,0,0
58186959,Liebe in Zeiten des Hasses: Chronik eines Gefühls 1929–1939,Florian Illies,"Illies, Florian",,"=""""","=""""",0,4.00,S. Fischer Verlag,Hardcover,304,2021,2021,,2026/01/07,currently-reading,currently-reading (#17),currently-reading,,,,1,0
230137095,Carmen o cómo me inicié en el negocio de bailar sin ropa (Spanish Edition),Romina Pistolas,"Pistolas, Romina",,"=""""","=""""",4,4.33,Editorial Cuneta,Paperback,232,2022,,,2026/01/01,,,read,,,,1,0
48616787,The Lying Life of Adults,Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""1609455916""","=""9781609455910""",4,3.67,Europa Editions,Hardcover,336,2020,2019,2025/11/14,2025/09/06,,,read,,,,1,0
138378661,"Immediacy: Or, The Style of Too Late Capitalism",Anna Kornbluh,"Kornbluh, Anna",,"=""180429134X""","=""9781804291344""",0,3.85,Verso,Paperback,240,2024,2024,,2025/10/23,to-read,to-read (#154),to-read,,,,0,0
12327273,Schimmernder Dunst über Coby County,Leif Randt,"Randt, Leif",,"=""3827010276""","=""9783827010278""",0,3.65,Berlin Verlag,Hardcover,192,2011,2011,,2025/10/01,to-read,to-read (#153),to-read,,,,0,0
231260474,Let's Talk About Feelings,Leif Randt,"Randt, Leif",,"=""3462313363""","=""9783462313369""",0,3.75,Kiepenheuer & Witsch eBook,Kindle Edition,304,2025,,,2025/10/01,to-read,to-read (#152),to-read,,,,0,0
48558668,Change Everything: Creating an Economy for the Common Good,Christian Felber,"Felber, Christian",Ann Pettifor,"=""1786997495""","=""9781786997494""",0,3.68,Zed Books,Kindle Edition,272,2019,2010,,2025/09/21,to-read,to-read (#151),to-read,,,,0,0
30209229,The Production of Money: How to Break the Power of Bankers,Ann Pettifor,"Pettifor, Ann",,"=""1786631342""","=""9781786631343""",0,3.68,Verso,Hardcover,172,2017,2017,,2025/09/21,to-read,to-read (#150),to-read,,,,0,0
50154780,The Case for the Green New Deal,Ann Pettifor,"Pettifor, Ann",,"=""1788738152""","=""9781788738156""",0,3.75,Verso,Hardcover,208,2019,,,2025/09/21,to-read,to-read (#149),to-read,,,,0,0
94349,El pez en el agua,Mario Vargas Llosa,"Llosa, Mario Vargas",,"=""9870400906""","=""9789870400905""",0,4.02,Alfaguara,Paperback,618,2006,1993,,2025/09/11,to-read,to-read (#148),to-read,,,,0,0
51648276,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"Tokarczuk, Olga","Antonia Lloyd-Jones, Beata Poźniak","=""""","=""""",4,3.93,Penguin Audio,Audible Audio,274,2019,2009,2025/09/03,2025/09/01,,,read,,,,1,0
46170,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",0,3.99,Scribner,Paperback,471,1995,1940,,2025/08/16,to-read,to-read (#147),to-read,,,,0,0
23859,Soldiers of Salamis,Javier Cercas,"Cercas, Javier",Anne McLean,"=""1582344728""","=""9781582344720""",0,3.86,Bloomsbury USA,Paperback,213,2005,2001,,2025/08/16,to-read,to-read (#146),to-read,,,,0,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",4,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,2025/08/12,2025/08/09,,,read,,,,1,0
49934534,4321,Paul Auster,"Auster, Paul",Albert Nolla Cabellos,"=""8417420282""","=""9788417420284""",0,3.97,labutxaca,Paperback,896,2019,2017,,2025/07/17,currently-reading,currently-reading (#16),currently-reading,,,,1,0
88514,Platform,Michel Houellebecq,"Houellebecq, Michel",Frank Wynne,"=""1400030269""","=""9781400030262""",0,3.81,Vintage,Paperback,259,2004,2001,,2023/01/27,,,read,,,,1,0
222531211,A Different Kind of Power,Jacinda Ardern,"Ardern, Jacinda",,"=""0593728696""","=""9780593728697""",0,4.46,Crown,Hardcover,352,2025,2025,,2025/06/18,to-read,to-read (#145),to-read,,,,0,0
12468,The Executioner's Song,Norman Mailer,"Mailer, Norman",,"=""0375700811""","=""9780375700811""",0,4.05,Vintage,Paperback,1056,1998,1979,,2025/06/14,to-read,to-read (#144),to-read,,,,0,0
145624737,Not the End of the World: How We Can Be the First Generation to Build a Sustainable Planet,Hannah Ritchie,"Ritchie, Hannah",,"=""031653675X""","=""9780316536752""",0,4.23,"Little, Brown Spark",Hardcover,352,2024,2024,,2025/06/10,to-read,to-read (#143),to-read,,,,0,0
52256905,Kapital und Ideologie,Thomas Piketty,"Piketty, Thomas","André Hansen, Enrico Heinemann, Stefan Lorenzer, Ursel Schäfer, Nastasja S. Dresler","=""3406745717""","=""9783406745713""",0,4.28,C.H. Beck,Hardcover,1312,2020,2019,,2025/06/10,to-read,to-read (#142),to-read,,,,0,0
44064568,Reimagining Capitalism in a World on Fire,Rebecca Henderson,"Henderson, Rebecca",,"=""1541730151""","=""9781541730151""",0,3.75,PublicAffairs,Hardcover,336,2020,2020,,2025/06/10,to-read,to-read (#141),to-read,,,,0,0
